Company,Technology,Mentions_SocialMedia,Mentions_Internet,Market_Penetration (%),Sentiment_SocialMedia,Sentiment_Internet,Innovation_Index,Category,Region,Revenue_Estimate (USD),Employee_Count,Date,Sentiment_Score_SocialMedia,Sentiment_Score_Internet,Growth_Rate_Mentions_SocialMedia,Growth_Rate_Mentions_Internet
Agritech Tunisia,Agricultural Robotics,226,153,13.37,positif,positif,8,Sustainability,Tunisia,2522168,85,2024-11-10,1,1,2.2285714285714286,-0.4375
Agritech Tunisia,Smart Irrigation,252,175,2.61,neutre,négatif,1,Climate Change,Sub-Saharan Africa,3042535,337,2024-11-10,0,-1,0.11504424778761058,0.14379084967320255
Agritech Tunisia,Agricultural Robotics,398,100,5.74,négatif,négatif,5,IoT,Tunisia,1149838,188,2024-11-10,-1,-1,0.5793650793650793,-0.4285714285714286
Agritech Tunisia,Climate-Smart Agriculture,104,83,18.04,négatif,négatif,3,Drones,Sub-Saharan Africa,2781591,226,2024-11-10,-1,-1,-0.7386934673366834,-0.17000000000000004
Agritech Tunisia,Smart Irrigation,11,98,2.17,neutre,positif,9,Precision Agriculture,Global,4168610,300,2024-11-10,0,1,-0.8942307692307693,0.1807228915662651
Agritech Tunisia,Climate-Smart Agriculture,332,177,19.14,positif,positif,6,Smart Irrigation,Global,3728507,486,2024-11-10,1,1,29.181818181818183,0.8061224489795917
Agritech Tunisia,Drones for Crop Monitoring,472,52,20.65,négatif,positif,8,Robotics,Sub-Saharan Africa,2657352,34,2024-11-10,-1,1,0.4216867469879517,-0.7062146892655368
Agritech Tunisia,Smart Irrigation,216,14,4.61,positif,positif,8,Robotics,Europe,1367351,878,2024-11-10,1,1,-0.5423728813559322,-0.7307692307692308
Agritech Tunisia,IoT for Farming,323,222,7.16,neutre,positif,1,Climate Change,Europe,4650686,338,2024-11-10,0,1,0.49537037037037046,14.857142857142858
Agritech Tunisia,Sustainable Agriculture,292,294,26.95,neutre,neutre,3,Technology Adoption,Global,3015173,141,2024-11-10,0,0,-0.09597523219814241,0.32432432432432434
Agritech Tunisia,Agricultural Robotics,70,117,19.75,négatif,neutre,5,IoT,Global,899432,994,2024-11-10,-1,0,-0.7602739726027398,-0.6020408163265306
Agritech Tunisia,Precision Agriculture,151,260,9.09,négatif,négatif,8,AI,Global,4508755,830,2024-11-10,-1,-1,1.157142857142857,1.2222222222222223
Agritech Tunisia,AI in Agriculture,467,266,16.44,négatif,négatif,4,Robotics,Global,1198762,598,2024-11-10,-1,-1,2.0927152317880795,0.023076923076922995
Agritech Tunisia,Agriculture 4.0,252,155,22.58,neutre,neutre,10,Smart Irrigation,Global,1253950,563,2024-11-10,0,0,-0.4603854389721628,-0.4172932330827067
Agritech Tunisia,Drones for Crop Monitoring,49,65,15.98,neutre,positif,1,Technology Adoption,Tunisia,322443,39,2024-11-10,0,1,-0.8055555555555556,-0.5806451612903225
Agritech Tunisia,Precision Agriculture,35,20,24.08,positif,positif,6,AI,Tunisia,4026618,738,2024-11-10,1,1,-0.2857142857142857,-0.6923076923076923
Agritech Tunisia,IoT for Farming,414,99,7.73,négatif,neutre,5,Sustainability,Europe,3358390,657,2024-11-10,-1,0,10.82857142857143,3.95
Agritech Tunisia,Climate-Smart Agriculture,124,45,5.34,neutre,neutre,8,Robotics,Tunisia,842653,619,2024-11-10,0,0,-0.7004830917874396,-0.5454545454545454
Agritech Tunisia,Agriculture 4.0,63,13,13.56,négatif,positif,9,Sustainability,Global,2579784,595,2024-11-10,-1,1,-0.49193548387096775,-0.7111111111111111
Agritech Tunisia,Drones for Crop Monitoring,324,150,28.6,négatif,négatif,8,Drones,Europe,291284,542,2024-11-10,-1,-1,4.142857142857143,10.538461538461538
Agritech Tunisia,Agriculture 4.0,302,244,5.79,positif,négatif,4,Sustainability,Global,1296325,870,2024-11-11,1,-1,-0.0679012345679012,0.6266666666666667
Agritech Tunisia,AI in Agriculture,402,228,23.2,neutre,positif,6,Water Management,North Africa,422835,898,2024-11-11,0,1,0.33112582781456945,-0.06557377049180324
Agritech Tunisia,IoT for Farming,340,144,15.44,neutre,positif,10,Sustainability,Global,2292999,706,2024-11-11,0,1,-0.154228855721393,-0.368421052631579
Agritech Tunisia,Drones for Crop Monitoring,228,8,17.05,neutre,neutre,8,Climate Change,Tunisia,4119432,918,2024-11-11,0,0,-0.3294117647058824,-0.9444444444444444
Agritech Tunisia,Precision Agriculture,189,54,21.47,neutre,positif,10,Climate Change,North Africa,1495175,727,2024-11-11,0,1,-0.17105263157894735,5.75
Agritech Tunisia,Water Management,465,37,21.02,positif,positif,10,Sustainability,North Africa,3079480,695,2024-11-11,1,1,1.4603174603174605,-0.31481481481481477
Agritech Tunisia,IoT for Farming,392,178,8.0,négatif,négatif,9,Smart Irrigation,North Africa,1370011,90,2024-11-11,-1,-1,-0.15698924731182795,3.8108108108108105
Agritech Tunisia,Smart Irrigation,42,262,14.34,négatif,positif,1,Drones,Tunisia,3976297,996,2024-11-11,-1,1,-0.8928571428571429,0.4719101123595506
Agritech Tunisia,Sustainable Agriculture,134,274,15.42,positif,négatif,2,Smart Irrigation,Europe,4961508,334,2024-11-11,1,-1,2.1904761904761907,0.04580152671755733
Agritech Tunisia,Smart Irrigation,324,212,24.89,neutre,négatif,1,Water Management,Sub-Saharan Africa,3560379,387,2024-11-11,0,-1,1.417910447761194,-0.22627737226277367
Agritech Tunisia,Agricultural Robotics,258,109,14.71,négatif,neutre,8,Drones,Tunisia,3708764,909,2024-11-11,-1,0,-0.20370370370370372,-0.48584905660377353
Agritech Tunisia,Smart Irrigation,90,173,17.52,positif,neutre,7,Smart Irrigation,North Africa,4446706,810,2024-11-11,1,0,-0.6511627906976745,0.5871559633027523
Agritech Tunisia,Climate-Smart Agriculture,384,43,18.16,négatif,négatif,2,Sustainability,Europe,358161,678,2024-11-11,-1,-1,3.2666666666666666,-0.7514450867052023
Agritech Tunisia,Agriculture 4.0,343,293,8.04,neutre,neutre,7,Precision Agriculture,North Africa,2176939,443,2024-11-11,0,0,-0.10677083333333337,5.813953488372093
Agritech Tunisia,Agricultural Robotics,145,240,4.59,négatif,positif,3,Drones,North Africa,2150166,360,2024-11-11,-1,1,-0.5772594752186588,-0.1808873720136519
Agritech Tunisia,Smart Irrigation,27,144,10.35,neutre,négatif,5,Precision Agriculture,North Africa,926987,92,2024-11-11,0,-1,-0.8137931034482758,-0.4
Agritech Tunisia,Smart Irrigation,208,158,15.84,positif,négatif,9,Precision Agriculture,North Africa,1977975,221,2024-11-11,1,-1,6.703703703703703,0.09722222222222232
Agritech Tunisia,Smart Irrigation,235,248,17.01,positif,négatif,10,Drones,Tunisia,288326,955,2024-11-11,1,-1,0.1298076923076923,0.5696202531645569
Agritech Tunisia,Agriculture 4.0,332,120,26.21,neutre,positif,1,Smart Irrigation,Global,3312528,797,2024-11-11,0,1,0.41276595744680855,-0.5161290322580645
Agritech Tunisia,Drones for Crop Monitoring,407,67,1.03,neutre,négatif,10,Technology Adoption,Global,1558983,262,2024-11-11,0,-1,0.22590361445783125,-0.44166666666666665
Agritech Tunisia,Smart Irrigation,175,111,10.61,négatif,positif,1,Climate Change,Europe,4269484,59,2024-11-11,-1,1,-0.5700245700245701,0.6567164179104477
Agritech Tunisia,AI in Agriculture,45,188,20.35,négatif,négatif,2,Precision Agriculture,Europe,3436644,775,2024-11-11,-1,-1,-0.7428571428571429,0.6936936936936937
Agritech Tunisia,Smart Irrigation,451,149,3.19,neutre,négatif,5,IoT,Tunisia,3651174,26,2024-11-11,0,-1,9.022222222222222,-0.20744680851063835
Agritech Tunisia,AI in Agriculture,375,41,22.2,positif,positif,4,IoT,Global,2853229,387,2024-11-11,1,1,-0.1685144124168514,-0.7248322147651007
Agritech Tunisia,Drones for Crop Monitoring,375,99,9.3,négatif,négatif,9,Drones,Tunisia,1568881,276,2024-11-11,-1,-1,0.0,1.4146341463414633
Agritech Tunisia,IoT for Farming,236,39,11.42,positif,négatif,8,Climate Change,North Africa,3073682,30,2024-11-11,1,-1,-0.3706666666666667,-0.6060606060606061
Agritech Tunisia,Agriculture 4.0,24,123,3.12,neutre,neutre,2,Smart Irrigation,Tunisia,473831,590,2024-11-11,0,0,-0.8983050847457628,2.1538461538461537
Agritech Tunisia,Drones for Crop Monitoring,165,89,12.19,neutre,positif,3,Robotics,Global,1213420,671,2024-11-12,0,1,5.875,-0.2764227642276422
Agritech Tunisia,Drones for Crop Monitoring,219,214,27.97,négatif,négatif,5,AI,Europe,244411,240,2024-11-12,-1,-1,0.3272727272727274,1.404494382022472
Agritech Tunisia,Smart Irrigation,12,41,7.22,positif,positif,8,Robotics,Tunisia,4075278,651,2024-11-12,1,1,-0.9452054794520548,-0.8084112149532711
Agritech Tunisia,Smart Irrigation,369,290,2.92,positif,neutre,1,Precision Agriculture,Global,3911588,323,2024-11-12,1,0,29.75,6.073170731707317
Agritech Tunisia,Agricultural Robotics,94,96,26.7,neutre,positif,9,Water Management,Europe,2495582,767,2024-11-12,0,1,-0.7452574525745257,-0.6689655172413793
Agritech Tunisia,Precision Agriculture,405,296,25.64,négatif,neutre,3,Technology Adoption,Europe,3285933,566,2024-11-12,-1,0,3.3085106382978724,2.0833333333333335
Agritech Tunisia,Sustainable Agriculture,271,164,9.29,positif,positif,1,Water Management,North Africa,4076631,487,2024-11-12,1,1,-0.33086419753086416,-0.44594594594594594
Agritech Tunisia,Water Management,121,149,15.1,négatif,positif,5,Climate Change,Sub-Saharan Africa,4327896,909,2024-11-12,-1,1,-0.5535055350553506,-0.09146341463414631
Agritech Tunisia,Agriculture 4.0,411,65,18.91,négatif,positif,9,Technology Adoption,North Africa,3202090,246,2024-11-12,-1,1,2.396694214876033,-0.563758389261745
Agritech Tunisia,Agricultural Robotics,292,241,10.67,neutre,négatif,8,Robotics,Europe,3756634,246,2024-11-12,0,-1,-0.2895377128953771,2.707692307692308
Agritech Tunisia,IoT for Farming,251,23,10.72,neutre,neutre,10,IoT,Tunisia,3906867,295,2024-11-12,0,0,-0.1404109589041096,-0.9045643153526971
Agritech Tunisia,Sustainable Agriculture,137,269,2.1,négatif,positif,8,Drones,Tunisia,1911475,407,2024-11-12,-1,1,-0.45418326693227096,10.695652173913043
Agritech Tunisia,AI in Agriculture,17,78,5.67,négatif,positif,6,Smart Irrigation,North Africa,3243957,66,2024-11-12,-1,1,-0.8759124087591241,-0.7100371747211895
Agritech Tunisia,IoT for Farming,157,36,5.91,positif,positif,4,Sustainability,North Africa,2489481,862,2024-11-12,1,1,8.235294117647058,-0.5384615384615384
Agritech Tunisia,IoT for Farming,443,126,9.74,positif,négatif,5,Water Management,Sub-Saharan Africa,534810,778,2024-11-12,1,-1,1.821656050955414,2.5
Agritech Tunisia,Climate-Smart Agriculture,325,198,13.95,positif,neutre,2,Sustainability,Global,2314501,851,2024-11-12,1,0,-0.2663656884875847,0.5714285714285714
Agritech Tunisia,Agriculture 4.0,281,137,3.15,positif,positif,4,Technology Adoption,Tunisia,3804187,888,2024-11-12,1,1,-0.13538461538461544,-0.30808080808080807
Agritech Tunisia,Water Management,48,159,13.16,positif,neutre,8,Robotics,North Africa,2695112,470,2024-11-12,1,0,-0.8291814946619217,0.16058394160583944
Agritech Tunisia,Drones for Crop Monitoring,178,85,18.41,positif,positif,10,Precision Agriculture,Europe,4249482,282,2024-11-12,1,1,2.7083333333333335,-0.46540880503144655
Agritech Tunisia,Smart Irrigation,456,215,15.77,neutre,positif,10,Robotics,Europe,2734052,26,2024-11-12,0,1,1.5617977528089888,1.5294117647058822
Agritech Tunisia,Water Management,103,256,3.1,positif,neutre,3,Technology Adoption,North Africa,1214867,843,2024-11-12,1,0,-0.7741228070175439,0.19069767441860463
Agritech Tunisia,Precision Agriculture,20,154,27.26,neutre,neutre,5,Drones,Sub-Saharan Africa,1748403,92,2024-11-12,0,0,-0.8058252427184466,-0.3984375
Agritech Tunisia,Water Management,424,250,15.49,positif,positif,9,Climate Change,Sub-Saharan Africa,3269060,842,2024-11-12,1,1,20.2,0.6233766233766234
Agritech Tunisia,AI in Agriculture,311,108,7.73,neutre,neutre,7,Water Management,Tunisia,3049499,181,2024-11-13,0,0,-0.2665094339622641,-0.5680000000000001
Agritech Tunisia,Precision Agriculture,10,251,20.84,neutre,négatif,1,Precision Agriculture,Europe,1878587,617,2024-11-13,0,-1,-0.9678456591639871,1.324074074074074
Agritech Tunisia,Climate-Smart Agriculture,388,109,2.41,positif,positif,6,AI,North Africa,4480494,632,2024-11-13,1,1,37.8,-0.5657370517928286
Agritech Tunisia,Climate-Smart Agriculture,198,97,7.67,neutre,positif,10,Climate Change,Global,3662078,369,2024-11-13,0,1,-0.4896907216494846,-0.11009174311926606
Agritech Tunisia,Water Management,213,210,29.15,neutre,positif,6,Water Management,North Africa,4101459,523,2024-11-13,0,1,0.07575757575757569,1.1649484536082473
Agritech Tunisia,Water Management,55,153,24.08,positif,négatif,7,Smart Irrigation,Tunisia,2482420,731,2024-11-13,1,-1,-0.7417840375586855,-0.27142857142857146
Agritech Tunisia,IoT for Farming,177,178,3.91,négatif,neutre,3,Smart Irrigation,North Africa,435479,847,2024-11-13,-1,0,2.2181818181818183,0.1633986928104576
Agritech Tunisia,Agricultural Robotics,464,110,25.65,positif,négatif,5,Smart Irrigation,Tunisia,881464,977,2024-11-13,1,-1,1.6214689265536721,-0.3820224719101124
Agritech Tunisia,Smart Irrigation,153,296,19.88,négatif,négatif,3,AI,North Africa,411397,363,2024-11-13,-1,-1,-0.6702586206896552,1.690909090909091
Agritech Tunisia,Smart Irrigation,288,39,14.57,positif,positif,4,Smart Irrigation,North Africa,3642324,917,2024-11-13,1,1,0.8823529411764706,-0.8682432432432432
Agritech Tunisia,Climate-Smart Agriculture,500,65,18.15,neutre,neutre,10,Smart Irrigation,Sub-Saharan Africa,546341,624,2024-11-13,0,0,0.7361111111111112,0.6666666666666667
Agritech Tunisia,Smart Irrigation,299,85,5.09,positif,négatif,4,Water Management,Global,4698941,225,2024-11-13,1,-1,-0.402,0.3076923076923077
Agritech Tunisia,Agricultural Robotics,51,98,20.98,négatif,neutre,10,AI,Tunisia,3006101,265,2024-11-13,-1,0,-0.8294314381270903,0.15294117647058814
Agritech Tunisia,Sustainable Agriculture,30,280,29.19,neutre,neutre,4,Sustainability,Europe,1594098,643,2024-11-13,0,0,-0.4117647058823529,1.8571428571428572
Agritech Tunisia,AI in Agriculture,181,107,23.55,positif,négatif,2,Robotics,Sub-Saharan Africa,174399,528,2024-11-13,1,-1,5.033333333333333,-0.6178571428571429
Agritech Tunisia,Smart Irrigation,270,161,8.58,négatif,neutre,6,Smart Irrigation,Sub-Saharan Africa,3090702,259,2024-11-13,-1,0,0.4917127071823204,0.5046728971962617
Agritech Tunisia,Climate-Smart Agriculture,282,26,27.84,négatif,positif,4,IoT,North Africa,1670347,583,2024-11-13,-1,1,0.04444444444444451,-0.8385093167701864
Agritech Tunisia,AI in Agriculture,292,29,20.43,positif,négatif,2,Water Management,Sub-Saharan Africa,4963135,949,2024-11-13,1,-1,0.03546099290780136,0.11538461538461542
Agritech Tunisia,AI in Agriculture,39,31,27.36,positif,positif,9,IoT,Tunisia,1039431,129,2024-11-13,1,1,-0.8664383561643836,0.06896551724137923
Agritech Tunisia,Climate-Smart Agriculture,47,119,26.57,positif,positif,9,Smart Irrigation,North Africa,2455111,841,2024-11-13,1,1,0.20512820512820507,2.838709677419355
Agritech Tunisia,Smart Irrigation,337,215,10.61,négatif,positif,9,Sustainability,Tunisia,3820312,204,2024-11-13,-1,1,6.170212765957447,0.8067226890756303
Agritech Tunisia,Smart Irrigation,170,228,7.21,négatif,neutre,8,IoT,Europe,2413042,450,2024-11-13,-1,0,-0.49554896142433236,0.0604651162790697
Agritech Tunisia,Precision Agriculture,359,148,11.97,positif,positif,4,Precision Agriculture,Tunisia,183750,924,2024-11-13,1,1,1.111764705882353,-0.3508771929824561
Agritech Tunisia,Drones for Crop Monitoring,29,106,25.12,neutre,négatif,8,Technology Adoption,North Africa,3687078,235,2024-11-13,0,-1,-0.9192200557103064,-0.28378378378378377
Agritech Tunisia,Agricultural Robotics,149,120,9.26,négatif,positif,5,Precision Agriculture,Tunisia,4511987,126,2024-11-13,-1,1,4.137931034482759,0.13207547169811318
Agritech Tunisia,IoT for Farming,493,276,6.62,négatif,négatif,7,Drones,Sub-Saharan Africa,1907906,747,2024-11-13,-1,-1,2.3087248322147653,1.2999999999999998
Agritech Tunisia,Climate-Smart Agriculture,435,259,8.14,neutre,positif,8,AI,Global,4949322,995,2024-11-14,0,1,-0.11764705882352944,-0.061594202898550776
Agritech Tunisia,Drones for Crop Monitoring,459,254,27.31,négatif,positif,7,AI,Tunisia,1088595,482,2024-11-14,-1,1,0.05517241379310356,-0.019305019305019266
Agritech Tunisia,IoT for Farming,46,143,16.81,négatif,positif,1,Technology Adoption,Europe,4298301,420,2024-11-14,-1,1,-0.8997821350762527,-0.43700787401574803
Agritech Tunisia,AI in Agriculture,103,9,13.6,négatif,négatif,9,Technology Adoption,Europe,1994158,886,2024-11-14,-1,-1,1.2391304347826089,-0.9370629370629371
Agritech Tunisia,Agricultural Robotics,226,226,11.16,positif,neutre,3,Precision Agriculture,Europe,3884881,69,2024-11-14,1,0,1.1941747572815533,24.11111111111111
Agritech Tunisia,Agriculture 4.0,330,31,20.84,négatif,négatif,7,AI,Global,1171469,350,2024-11-14,-1,-1,0.4601769911504425,-0.8628318584070797
Agritech Tunisia,Drones for Crop Monitoring,358,107,13.3,négatif,neutre,4,Sustainability,Sub-Saharan Africa,618188,735,2024-11-14,-1,0,0.08484848484848495,2.4516129032258065
Agritech Tunisia,Drones for Crop Monitoring,320,185,9.87,neutre,négatif,3,IoT,Global,4681711,927,2024-11-14,0,-1,-0.1061452513966481,0.7289719626168225
Agritech Tunisia,Smart Irrigation,467,277,25.23,positif,négatif,9,Drones,Tunisia,1472402,852,2024-11-14,1,-1,0.4593750000000001,0.4972972972972973
Agritech Tunisia,AI in Agriculture,50,240,16.74,positif,positif,5,AI,Europe,1545331,896,2024-11-14,1,1,-0.892933618843683,-0.13357400722021662
Agritech Tunisia,Agricultural Robotics,413,280,14.3,négatif,neutre,8,Water Management,Tunisia,55274,140,2024-11-14,-1,0,7.26,0.16666666666666674
Agritech Tunisia,Climate-Smart Agriculture,437,237,4.98,neutre,positif,5,Water Management,Sub-Saharan Africa,3303389,796,2024-11-14,0,1,0.05811138014527839,-0.15357142857142858
Agritech Tunisia,Smart Irrigation,410,212,21.13,positif,positif,7,Water Management,North Africa,1485477,716,2024-11-14,1,1,-0.06178489702517165,-0.10548523206751059
Agritech Tunisia,Sustainable Agriculture,356,153,14.88,positif,positif,5,Technology Adoption,North Africa,1733182,982,2024-11-14,1,1,-0.13170731707317074,-0.2783018867924528
Agritech Tunisia,Water Management,57,145,8.95,neutre,négatif,8,Robotics,Sub-Saharan Africa,3529905,731,2024-11-14,0,-1,-0.8398876404494382,-0.05228758169934644
Agritech Tunisia,Sustainable Agriculture,497,124,26.25,négatif,négatif,4,Drones,Tunisia,2451158,720,2024-11-14,-1,-1,7.719298245614034,-0.1448275862068965
Agritech Tunisia,Climate-Smart Agriculture,20,90,9.71,positif,négatif,8,Smart Irrigation,Europe,739347,107,2024-11-14,1,-1,-0.959758551307847,-0.27419354838709675
Agritech Tunisia,Smart Irrigation,373,205,17.94,neutre,neutre,3,Smart Irrigation,Europe,2165625,828,2024-11-14,0,0,17.65,1.2777777777777777
Agritech Tunisia,IoT for Farming,225,78,19.81,négatif,neutre,8,Precision Agriculture,Global,187378,778,2024-11-14,-1,0,-0.39678284182305634,-0.6195121951219512
Agritech Tunisia,AI in Agriculture,57,86,12.06,neutre,négatif,6,Climate Change,Sub-Saharan Africa,4273869,959,2024-11-14,0,-1,-0.7466666666666666,0.10256410256410264
Agritech Tunisia,Smart Irrigation,213,248,29.3,positif,positif,9,Sustainability,Europe,1484730,625,2024-11-14,1,1,2.736842105263158,1.883720930232558
Agritech Tunisia,Smart Irrigation,426,69,2.54,neutre,neutre,4,IoT,Tunisia,2648382,146,2024-11-14,0,0,1.0,-0.7217741935483871
Agritech Tunisia,Precision Agriculture,128,235,18.68,neutre,négatif,8,AI,North Africa,933588,910,2024-11-14,0,-1,-0.6995305164319249,2.4057971014492754
Agritech Tunisia,Drones for Crop Monitoring,412,166,7.18,positif,négatif,10,Climate Change,Tunisia,4723996,369,2024-11-14,1,-1,2.21875,-0.2936170212765957
Agritech Tunisia,Climate-Smart Agriculture,348,300,27.04,négatif,négatif,10,Robotics,Tunisia,4260346,38,2024-11-15,-1,-1,-0.15533980582524276,0.8072289156626506
Agritech Tunisia,Drones for Crop Monitoring,181,90,18.95,positif,neutre,5,Technology Adoption,North Africa,4399104,316,2024-11-15,1,0,-0.4798850574712644,-0.7
Agritech Tunisia,Water Management,454,291,7.21,négatif,neutre,6,Water Management,Europe,1242962,811,2024-11-15,-1,0,1.5082872928176796,2.2333333333333334
Agritech Tunisia,Sustainable Agriculture,144,90,8.59,négatif,neutre,1,Drones,North Africa,3571906,103,2024-11-15,-1,0,-0.6828193832599119,-0.6907216494845361
Agritech Tunisia,Smart Irrigation,292,152,14.05,positif,négatif,10,Technology Adoption,North Africa,2377354,465,2024-11-15,1,-1,1.0277777777777777,0.6888888888888889
Agritech Tunisia,Sustainable Agriculture,362,264,21.5,neutre,négatif,6,Smart Irrigation,Sub-Saharan Africa,3657981,780,2024-11-15,0,-1,0.23972602739726034,0.736842105263158
Agritech Tunisia,IoT for Farming,320,253,27.35,négatif,négatif,5,IoT,North Africa,4454358,661,2024-11-15,-1,-1,-0.11602209944751385,-0.04166666666666663
Agritech Tunisia,AI in Agriculture,194,15,25.22,négatif,neutre,3,IoT,North Africa,4725290,168,2024-11-15,-1,0,-0.39375000000000004,-0.9407114624505929
Agritech Tunisia,Sustainable Agriculture,414,12,21.95,neutre,neutre,1,Smart Irrigation,Tunisia,1622761,172,2024-11-15,0,0,1.134020618556701,-0.19999999999999996
Agritech Tunisia,Agricultural Robotics,246,240,27.91,positif,positif,7,AI,Global,1090215,237,2024-11-15,1,1,-0.4057971014492754,19.0
Agritech Tunisia,Drones for Crop Monitoring,71,60,9.35,négatif,neutre,7,IoT,Europe,2909720,55,2024-11-15,-1,0,-0.7113821138211383,-0.75
Agritech Tunisia,Agriculture 4.0,474,295,24.19,négatif,neutre,7,Precision Agriculture,Tunisia,3542268,662,2024-11-15,-1,0,5.676056338028169,3.916666666666667
Agritech Tunisia,Water Management,167,262,20.25,négatif,positif,4,Robotics,Global,4705346,130,2024-11-15,-1,1,-0.6476793248945147,-0.11186440677966103
Agritech Tunisia,AI in Agriculture,480,254,15.13,positif,neutre,5,Drones,Global,3548947,144,2024-11-15,1,0,1.874251497005988,-0.03053435114503822
Agritech Tunisia,Climate-Smart Agriculture,188,78,2.71,neutre,positif,2,Drones,Tunisia,2204607,306,2024-11-15,0,1,-0.6083333333333334,-0.6929133858267716
Agritech Tunisia,Drones for Crop Monitoring,62,151,14.05,positif,négatif,8,Precision Agriculture,Tunisia,4994739,110,2024-11-15,1,-1,-0.6702127659574468,0.9358974358974359
